机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
RGN,仰光国际机场,仰光机场,Yangon International Airport,仰光,RGN,仰光省,缅甸,机场
ZZU,姆祖祖机场,姆祖祖机场,Mzuzu Apt,姆祖祖,ZZU,姆祖祖,马拉维,机场
ZNG,南宁火车站,南宁火车站,Nanning Rariway Station,南宁,NNG,广西壮族自治区,中国,非海关机场
MFM,澳门国际机场,澳门机场,Macau International Airport,中国澳门,MFM,中国澳门,中国澳门,机场
GMP,金浦国际机场,金浦机场,Gimpo International Airport,首尔,SEL,首尔,韩国,机场
WMT,茅台机场,茅台机场,Maotai Airport,茅台,WMT,贵州省,中国,机场
LLJ,希兰帕里机场,希兰帕里机场,Silampari Airport,卢布林高,LLJ,卢布林高,印度尼西亚,机场
TLL,伦纳特梅里机场,伦纳特梅里机场,Lennart Meri Airport,塔林,TLL,塔林,爱沙尼亚,机场
JHB,士乃国际机场,士乃机场,Johor Bahru Airport,柔佛巴鲁(新山),JHB,柔佛,马来西亚,机场
VYI,维柳伊斯克机场,维柳伊斯克机场,Vilyuysk Airport,维柳伊斯克,VYI,维柳伊斯克,俄罗斯,机场
ITU,择捉岛机场,择捉岛机场,Iturup Airport,择捉岛,ITU,择捉岛,俄罗斯,机场
KDZ,卡图加斯托塔机场,卡图加斯托塔机场,Katuga Stota Airport,康提,KDW,康提,斯里兰卡,机场
